Date,Close,Open,High,Low,Volumn
2017-11-10,152500,151000,156000,150000,734.15K
2017-11-09,152500,159500,162500,149500,1.63M
2017-11-08,157500,154500,158000,154000,808.03K
2017-11-07,154000,153500,155000,152000,478.23K
2017-11-06,153000,153500,154000,151500,495.26K
2017-11-05,152500,152500,152500,152500,0.69K
2017-11-03,152500,151000,153000,146500,622.06K
2017-11-02,150000,152500,153000,149000,505.65K
2017-11-01,151000,145000,151500,143000,1.02M
2017-10-31,144000,143000,146000,142500,463.58K
2017-10-30,142000,144000,146500,140500,650.33K
2017-10-29,143500,143500,143500,143500,6.16K
2017-10-27,143500,139500,143500,136500,1.03M
2017-10-26,140000,145500,145500,139000,1.89M
2017-10-25,146000,151500,152000,145000,760.26K
2017-10-24,150000,151000,153000,150000,463.84K
2017-10-23,151000,149000,151500,147500,560.26K
2017-10-22,150000,150000,150000,150000,0.28K
2017-10-20,150000,149000,151500,148000,661.72K
2017-10-19,147000,149000,151500,145000,1.06M
2017-10-18,148500,156500,156500,147500,1.63M
2017-10-17,157500,157000,159000,153000,714.67K
2017-10-16,156000,150500,157000,146000,1.72M
2017-10-15,152500,152500,152500,152500,3.16K
2017-10-13,152500,160000,168000,151500,2.52M
2017-10-12,159500,151500,159500,151000,1.30M
2017-10-11,150500,149500,151500,148000,521.94K
2017-10-10,149000,147000,149500,145500,830.87K
2017-10-09,144000,144000,144000,144000,0.12K
2017-09-29,144000,140500,145000,139500,747.58K
2017-09-28,139500,140500,141000,139000,318.70K
2017-09-27,140500,141500,142000,139500,454.45K
2017-09-26,141000,138500,141500,138500,545.55K
2017-09-25,138500,136000,140500,134000,688.79K
2017-09-24,138500,138500,138500,138500,2.62K
2017-09-22,138500,140000,142500,137000,914.39K
2017-09-21,142000,144000,144500,139500,812.38K
2017-09-20,142500,138000,144000,138000,1.31M
2017-09-19,137000,135000,137000,132000,642.55K
2017-09-18,135500,136500,137500,135000,712.20K
2017-09-17,135500,135500,135500,135500,0.22K
2017-09-15,135500,132500,136000,131000,1.14M
2017-09-14,132000,129000,133000,128500,2.48M
2017-09-13,127500,130000,130000,127000,964.33K
2017-09-12,130500,130500,131000,128500,637.20K
2017-09-11,130500,130000,132000,129500,660.70K
2017-09-10,129500,129500,129500,129500,0.11K
2017-09-08,129500,128000,130000,127500,650.43K
2017-09-07,127000,128000,129000,126500,633.60K
2017-09-06,128000,126000,129000,125000,1.08M
2017-09-05,125500,121500,126000,120500,1.04M
2017-09-04,119500,117500,122000,117500,722.73K
2017-09-03,122000,122000,122000,122000,0.04K
2017-09-01,122000,123000,123000,120000,506.83K
2017-08-31,123000,123000,124500,122000,613.06K
2017-08-30,122000,122500,125000,122000,1.27M
2017-08-29,119000,117000,120000,116500,672.13K
2017-08-28,118000,118000,118500,116500,297.17K
2017-08-25,117500,117500,118500,116500,409.57K
2017-08-24,116500,115500,118500,115500,491.10K
2017-08-23,115000,116500,116500,114500,283.59K
2017-08-22,115500,114500,116500,113000,433.30K
2017-08-21,114000,114000,115000,113000,256.07K
2017-08-20,113500,113500,113500,113500,0.31K
2017-08-18,113500,113000,115000,112500,352.58K
2017-08-17,114500,115500,116000,113500,357.45K
2017-08-16,114500,114500,115000,113500,543.37K
2017-08-14,113000,112500,114000,111000,700.10K
2017-08-13,110000,110000,110000,110000,-
2017-08-11,110000,107500,110500,106500,776.02K
2017-08-10,108500,110000,111500,107000,784.84K
2017-08-09,108500,111000,111500,107500,617.05K
